Date,Open,High,Low,Close,Adj Close,Volume
2009-05-01,36.500000,36.880001,26.570000,28.920000,28.920000,0
2009-06-01,28.700001,32.770000,25.020000,26.350000,26.350000,0
2009-07-01,25.730000,33.049999,23.000000,25.920000,25.920000,0
2009-08-01,25.920000,28.389999,23.680000,26.010000,26.010000,0
2009-09-01,26.010000,29.570000,22.190001,25.610001,25.610001,0
2009-10-01,25.980000,31.590000,20.100000,30.690001,30.690001,0
2009-11-01,30.700001,31.840000,20.049999,24.510000,24.510000,0
2009-12-01,24.510000,24.510000,19.250000,21.680000,21.680000,0
2010-01-01,21.680000,28.010000,16.860001,24.620001,24.620001,0
2010-02-01,24.330000,29.219999,19.320000,19.500000,19.500000,0
2010-03-01,19.930000,19.940001,16.170000,17.590000,17.590000,0
2010-04-01,17.010000,23.200001,15.230000,22.049999,22.049999,0
2010-05-01,22.410000,48.200001,19.610001,32.070000,32.070000,0
2010-06-01,34.869999,37.380001,22.870001,34.540001,34.540001,0
2010-07-01,34.410000,37.580002,21.860001,23.500000,23.500000,0
2010-08-01,23.070000,28.920000,21.360001,26.049999,26.049999,0
2010-09-01,25.129999,25.129999,20.850000,23.700001,23.700001,0
2010-10-01,22.900000,24.340000,17.900000,21.200001,21.200001,0
2010-11-01,21.650000,23.840000,17.760000,23.540001,23.540001,0
2010-12-01,21.190001,21.430000,15.400000,17.750000,17.750000,0
2011-01-01,17.940001,20.080000,15.370000,19.530001,19.530001,0
2011-02-01,18.590000,23.219999,14.860000,18.350000,18.350000,0
2011-03-01,17.629999,31.280001,17.070000,17.740000,17.740000,0
2011-04-01,16.680000,19.070000,14.270000,14.750000,14.750000,0
2011-05-01,15.070000,20.030001,15.070000,15.450000,15.450000,0
2011-06-01,15.950000,24.650000,15.880000,16.520000,16.520000,0
2011-07-01,16.059999,25.940001,15.120000,25.250000,25.250000,0
2011-08-01,22.629999,48.000000,22.459999,31.620001,31.620001,0
2011-09-01,31.910000,43.869999,30.430000,42.959999,42.959999,0
2011-10-01,44.250000,46.880001,24.440001,29.959999,29.959999,0
2011-11-01,36.029999,37.529999,27.030001,27.799999,27.799999,0
2011-12-01,27.629999,30.910000,20.340000,23.400000,23.400000,0
2012-01-01,22.950001,23.730000,16.799999,19.440001,19.440001,0
