Date,Open,High,Low,Close,Adj Close,Volume
2009-04-30,8848.839844,9522.5,8827.129883,9522.5,9522.5,3006700
2009-05-31,9517.490234,10170.82031,9491.259766,9958.44043,9958.44043,3795800
2009-06-30,9889.339844,10359.07031,9050.330078,10356.83008,10356.83008,3393000
2009-07-31,10355.23047,10767,10142.21973,10492.53027,10492.53027,2927600
2009-08-31,10453.37012,10577.19043,9971.049805,10133.23047,10133.23047,2585200
2009-09-30,10072.63965,10397.69043,9628.669922,10034.74023,10034.74023,3133500
2009-10-31,9903.769531,9979.459961,9076.410156,9345.549805,9345.549805,2760300
2009-11-30,9281.820313,10707.50977,9233.200195,10546.44043,10546.44043,3335300
2009-12-31,10609.33984,10982.09961,10198.04004,10198.04004,10198.04004,3461300
2010-01-31,10212.36035,10449.75,9867.389648,10126.03027,10126.03027,2486300
2010-02-28,10128.73047,11147.62012,10116.86035,11089.94043,11089.94043,2840200
2010-03-31,11178.91992,11408.16992,10865.91992,11057.40039,11057.40039,3039100
2010-04-30,10847.90039,10847.90039,9395.290039,9768.700195,9768.700195,3169300
2010-05-31,9747.259766,10251.90039,9347.070313,9382.639648,9382.639648,2699700
2010-06-30,9296.860352,9807.360352,9091.700195,9537.299805,9537.299805,2938300
2010-07-31,9574.639648,9750.879883,8807.410156,8824.05957,8824.05957,2551700
2010-08-31,8833.320313,9704.25,8796.450195,9369.349609,9369.349609,2480200
2010-09-30,9440.519531,9716.919922,9179.150391,9202.450195,9202.450195,2922000
2010-10-31,9166.849609,10157.96973,9123.620117,9937.040039,9937.040039,2736400
2010-11-30,9939.799805,10394.21973,9918.549805,10228.91992,10228.91992,2638500
2010-12-31,10352.19043,10620.57031,10182.57031,10237.91992,10237.91992,2736000
2011-01-31,10281.54981,10891.59961,10245.75,10624.08984,10624.08984,3125000
2011-02-28,10676.24023,10768.42969,8227.629883,9755.099609,9755.099609,4792200
2011-03-31,9757.280273,9849.740234,9405.19043,9849.740234,9849.740234,2991400
2011-04-30,9964.389648,10017.46973,9406.040039,9693.730469,9693.730469,2475600
2011-05-31,9708.049805,9849.69043,9318.620117,9816.089844,9816.089844,2889600
2011-06-30,9878.69043,10207.91016,9824.339844,9833.030273,9833.030273,2450800
2011-07-31,9907.040039,10040.12988,8619.209961,8955.200195,8955.200195,3428500
2011-08-31,9017.009766,9098.150391,8359.700195,8700.290039,8700.290039,2664200
2011-09-30,8567.980469,9152.389648,8343.009766,8988.389648,8988.389648,2371900
2011-10-31,8880.75,8946,8135.790039,8434.610352,8434.610352,2276100
2011-11-30,8581.200195,8729.80957,8272.259766,8455.349609,8455.349609,2086100
2011-12-31,8549.540039,8911.620117,8349.330078,8802.509766,8802.509766,2153800
2012-01-31,8789.05957,9866.410156,8780.099609,9723.240234,9723.240234,3455900
2012-02-29,9771.339844,10255.15039,9509.099609,10083.55957,10083.55957,3340600
2012-03-31,10161.71973,10190.34961,9388.139648,9520.889648,9520.889648,2547300
2012-04-30,9471.660156,9472.25,8455.129883,8542.730469,8542.730469,2713200
2012-05-31,8465.469727,9044.040039,8238.959961,9006.780273,9006.780273,2548800
2012-06-30,9103.790039,9136.019531,8328.019531,8695.05957,8695.05957,2457400
2012-07-31,8622.040039,9222.870117,8513.200195,8839.910156,8839.910156,2571500
2012-08-31,8836.610352,9288.530273,8646.030273,8870.160156,8870.160156,2403400
2012-09-30,8815.070313,9075.589844,8488.139648,8928.290039,8928.290039,2738800
2012-10-31,8931.709961,9492.910156,8619.450195,9446.009766,9446.009766,2687500
2012-11-30,9484.200195,10433.62988,9376.969727,10395.17969,10395.17969,3432700
2012-12-31,10604.5,11145.37988,10398.61035,11138.66016,11138.66016,4335800
2013-01-31,11193.71973,11662.51953,11046.91992,11559.36035,11559.36035,5299900
2013-02-28,11464.70996,12650.25977,11464.70996,12397.91016,12397.91016,4251700
2013-03-31,12371.33984,13983.87012,11805.78027,13860.86035,13860.86035,6211600
2013-04-30,13837.71973,15942.59961,13555.66016,13774.54004,13774.54004,7190600
2013-05-31,13551.36035,13724.44043,12415.84961,13677.32031,13677.32031,4755100
2013-06-30,13746.71973,14953.29004,13562.7002,13668.32031,13668.32031,4145700
2013-07-31,13674.5,14466.16016,13188.13965,13388.86035,13388.86035,3158800
2013-08-31,13438.07031,14817.5,13407.53027,14455.79981,14455.79981,2908600
2013-09-30,14517.98047,14799.28027,13748.94043,14327.94043,14327.94043,3095600
2013-10-31,14403.07031,15729.08984,14026.16992,15661.87012,15661.87012,3175900
2013-11-30,15659.74023,16320.21973,15112.54004,16291.30957,16291.30957,3151000
2013-12-31,16147.54004,16164.00977,14764.57031,14914.53027,14914.53027,3734900
2014-01-31,14788.55957,15094.54004,13995.86035,14841.07031,14841.07031,3390300
2014-02-28,14666.92969,15312.59961,14203.20996,14827.83008,14827.83008,3011800
2014-03-31,14870.50977,15164.38965,13885.11035,14304.11035,14304.11035,2575500
2014-04-30,14341.08984,14744.16016,13964.42969,14632.37988,14632.37988,2560200
2014-05-31,14777.50977,15442.66992,14777.50977,15162.09961,15162.09961,2715300
2014-06-30,15179.63965,15759.66016,15101.49023,15620.76953,15620.76953,2467400
2014-07-31,15511.54004,15628.78027,14753.83984,15424.58984,15424.58984,2300800
2014-08-31,15454.58984,16374.13965,15440.99023,16173.51953,16173.51953,2530100
2014-09-30,16173.38965,16533.91016,14529.03027,16413.75977,16413.75977,3436700
2014-10-31,16732.84961,17520.53906,16713.36914,17459.84961,17459.84961,3155400
2014-11-30,17475.09961,18030.83008,16672.93945,17450.76953,17450.76953,2962900
2014-12-31,17702.11914,17850.58984,16592.57031,17674.39063,17674.39063,2691500
2015-01-31,17536.60938,18865.39063,17271.86914,18797.93945,18797.93945,2975400
2015-02-28,18869.40039,19778.59961,18577.06055,19206.99023,19206.99023,3191800
2015-03-31,19129.75,20252.11914,18927.94922,19520.00977,19520.00977,3047400
2015-04-30,19510.84961,20655.33008,19257.84961,20563.15039,20563.15039,3291500
2015-05-31,20444.53906,20952.71094,19990.55078,20235.73047,20235.73047,3464600
2015-06-30,20291.05078,20850,19115.19922,20585.24023,20585.24023,3318200
2015-07-31,20540.21094,20946.92969,17714.30078,18890.48047,18890.48047,3727500
2015-08-31,18763.7207,18777.4707,16901.49023,17388.15039,17388.15039,3132300
2015-09-30,17479.9707,19202.33984,17389.57031,19083.09961,19083.09961,2979600
2015-10-31,18827.10938,19994.05078,18641.2207,19747.4707,19747.4707,2559500
2015-11-30,19799.08008,20012.40039,18562.50977,19033.71094,19033.71094,2752700
2015-12-31,18818.58008,18951.11914,16017.25977,17518.30078,17518.30078,3241100
2016-01-31,17699.59961,17905.36914,14865.76953,16026.75977,16026.75977,4174100
2016-02-29,16013,17291.34961,15857.37012,16758.66992,16758.66992,3307500
2016-03-31,16719.56055,17613.56055,15471.79981,16666.05078,16666.05078,3230600
2016-04-30,16357.09961,17251.35938,15975.46973,17234.98047,17234.98047,2571800
2016-05-31,17097.2207,17145.94922,14864.00977,15575.91992,15575.91992,3096300
2016-06-30,15698.01953,16938.96094,15106.51953,16569.26953,16569.26953,2816900
2016-07-31,16415.31055,16943.66992,15921.04004,16887.40039,16887.40039,2675600
